"author/avatar/expiresAt","author/avatar/height","author/avatar/url","author/avatar/width","author/info","author/linkedinUrl","author/name","author/publicIdentifier","author/type","author/universalName","author/website","author/websiteLabel","content","contentAttributes/0/hyperlink","contentAttributes/0/length","contentAttributes/0/start","contentAttributes/0/textLink","contentAttributes/0/type","engagement/comments","engagement/impressions","engagement/likes","engagement/reactions/0/count","engagement/reactions/0/type","engagement/reactions/1/count","engagement/reactions/1/type","engagement/reactions/2/count","engagement/reactions/2/type","engagement/reactions/3/count","engagement/reactions/3/type","engagement/shares","entityId","header/text","id","linkedinUrl","postImages/0/expiresAt","postImages/0/height","postImages/0/url","postImages/0/width","postImages/1/expiresAt","postImages/1/height","postImages/1/url","postImages/1/width","postImages/2/expiresAt","postImages/2/height","postImages/2/url","postImages/2/width","postImages/3/expiresAt","postImages/3/height","postImages/3/url","postImages/3/width","postImages/4/expiresAt","postImages/4/height","postImages/4/url","postImages/4/width","postImages/5/expiresAt","postImages/5/height","postImages/5/url","postImages/5/width","postImages/6/expiresAt","postImages/6/height","postImages/6/url","postImages/6/width","postVideo/thumbnailUrl","postVideo/videoUrl","postedAt/date","postedAt/postedAgoShort","postedAt/postedAgoText","postedAt/timestamp","query/page","query/sortBy","query/targetUrl","shareUrn","socialContent/hideCommentAction","socialContent/hideCommentsCount","socialContent/hideReactAction","socialContent/hideReactionsCount","socialContent/hideRepostsCount","socialContent/hideSendAction","socialContent/hideShareAction","socialContent/hideSocialActivityCounts","socialContent/hideViewsCount","socialContent/shareUrl","socialContent/showContributionExperience","socialContent/showSocialDetail","socialContent/trustInterventionBanner","type"
"1766620800000","400","https://media.licdn.com/dms/image/v2/C560BAQEs3MVNoTeWSw/company-logo_400_400/company-logo_400_400/0/1630623665585/dahua_technology_logo?e=1766620800&v=beta&t=q-J9yYKY6rt2iJ5-nfplwrt2cnPbczCzwoKpg5Osby4","400","311,310 followers","https://www.linkedin.com/company/dahua-technology/posts","Dahua Technology Co. LTD",,"company","dahua-technology",,,"🌏Appreciate every moment with the global community - Quick Recap of Dahua Pro Challenge Day 1
🌟The event opened by our chairman by recognizing the contributions of global installers and outlining a shared path toward co-creation. With In-depth tech presentations and live demonstations, we will continue to empower partners and achieve long-term growth. 🤝",,,,,,"1","0","72","65","LIKE","4","EMPATHY","2","PRAISE","1","APPRECIATION","10","7401912147221364736",,"7401911431396532224","https://www.linkedin.com/posts/dahua-technology_appreciate-every-moment-with-the-global-activity-7401912147221364736-ydR7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://media.licdn.com/dms/image/v2/D5605AQGMcR7dquI5JA/feedshare-thumbnail_720_1280/B56Zrjf1tgJwA4-/0/1764753369435?e=1765461600&v=beta&t=qki9rXAYo7_Wqh9KFAA17HHvEl0CjeZKC4a-r9-XBSg","https://dms.licdn.com/playlist/vid/v2/D5605AQGMcR7dquI5JA/mp4-720p-30fp-crf28/B56Zrjf1tgJwCI-/0/1764753374606?e=1765461600&v=beta&t=mwIIP0i5qQy5J4e2uNF4lCQfw8KbDCXV_z0u7h5qobI","2025-12-03T09:13:26.109Z","1d","1 day ago • Visible to anyone on or off LinkedIn","1764753206109","1","date","https://www.linkedin.com/company/dahua-technology/","urn:li:ugcPost:7401911431396532224","false","false","false","false","false","true","true","false","false","https://www.linkedin.com/posts/dahua-technology_appreciate-every-moment-with-the-global-activity-7401912147221364736-ydR7?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGGZPVkBO-KqWuYAYS2fie9fQJ37cwL_MNU","false","true",,"post"
"1766620800000","400","https://media.licdn.com/dms/image/v2/C560BAQEs3MVNoTeWSw/company-logo_400_400/company-logo_400_400/0/1630623665585/dahua_technology_logo?e=1766620800&v=beta&t=q-J9yYKY6rt2iJ5-nfplwrt2cnPbczCzwoKpg5Osby4","400","311,310 followers","https://www.linkedin.com/company/dahua-technology/posts","Dahua Technology Co. LTD",,"company","dahua-technology",,,"Welcome, Dahua Golden Pro!
Your journey begins today! 🎉
From exploring our cutting-edge showroom to engaging in face-to-face sessions with our expert product managers, you're now immersed in the world of Dahua innovation.

This is just the start—get ready to discover, connect, and grow as you unlock new possibilities. 
#Dahua #DahuaProChallenge",,,,,,"5","0","160","148","LIKE","7","PRAISE","3","EMPATHY","2","APPRECIATION","7","7401608692707889152",,"7401608690891759616","https://www.linkedin.com/posts/dahua-technology_dahua-dahuaprochallenge-activity-7401608692707889152-vg8c","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQEM7zxqlP83ww/feedshare-shrink_2048_1536/B56ZrfLgqbK4Aw-/0/1764681025476?e=1766620800&v=beta&t=b2dR1BPtoFNmkRUC0DYZaOFymHbBAma7iUAiOnNhToA","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQH3ALugpawlnw/feedshare-shrink_2048_1536/B56ZrfLgr_MIAw-/0/1764681025428?e=1766620800&v=beta&t=7wRBjEbH_8dYRuTGtn5Z8sG0-_xJ4Jr0L8k212KthfE","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQH69pO-ykStpw/feedshare-shrink_2048_1536/B56ZrfLgoJLMAw-/0/1764681014183?e=1766620800&v=beta&t=FSRZHs_CejhgBpNN0psGsTWF5k7NA6-NjzUSDUpeHk0","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQEluD2wtYYphw/feedshare-shrink_2048_1536/B56ZrfLgs_K8A0-/0/1764681024180?e=1766620800&v=beta&t=r51aE_OmkCEEZkVTWZOifVDwyUW9_0XWOflqlZBGXsI","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQEWRaL1ZNCK2Q/feedshare-shrink_2048_1536/B56ZrfLguJLYA0-/0/1764681019864?e=1766620800&v=beta&t=kC83xB55l-nXooYEW0fRtwxNpSH0vSl8vQoVEvWGp2Q","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQHDQEudWXWb0g/feedshare-shrink_2048_1536/B56ZrfLgpxL8Aw-/0/1764681014963?e=1766620800&v=beta&t=uT9KnyAVLBddN7pJmclP-v_WvMgVsVdm0R035HMWiBA","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQFCxkE6Tph0Lg/feedshare-shrink_2048_1536/B56ZrfLgvSLUAw-/0/1764681023750?e=1766620800&v=beta&t=QK9x0FdTxdmOD2rDkE-y-XJQhlUQmh-uZKuop_nYCxI","2048",,,"2025-12-02T13:10:27.148Z","1d","1 day ago • Visible to anyone on or off LinkedIn","1764681027148","1","date","https://www.linkedin.com/company/dahua-technology/","urn:li:ugcPost:7401608690891759616","false","false","false","false","false","true","true","false","false","https://www.linkedin.com/posts/dahua-technology_dahua-dahuaprochallenge-activity-7401608692707889152-vg8c?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGGZPVkBO-KqWuYAYS2fie9fQJ37cwL_MNU","false","true",,"post"
"1766620800000","400","https://media.licdn.com/dms/image/v2/C560BAQEs3MVNoTeWSw/company-logo_400_400/company-logo_400_400/0/1630623665585/dahua_technology_logo?e=1766620800&v=beta&t=q-J9yYKY6rt2iJ5-nfplwrt2cnPbczCzwoKpg5Osby4","400","311,310 followers","https://www.linkedin.com/company/dahua-technology/posts","Dahua Technology Co. LTD",,"company","dahua-technology",,,"🌟Touchdown in China on the First Day🌟
Our installers have arrived for the 2025 Dahua Pro Challenge and are getting ready for a week filled with connection and insight. 💪Stay tuned - looking forward to kicking off this week’s journey together!

#Dahua #DahuaProChallenge",,,,,,"2","0","85","81","LIKE","2","PRAISE","2","EMPATHY",,,"7","7401180579754332160",,"7401180579028975617","https://www.linkedin.com/posts/dahua-technology_dahua-dahuaprochallenge-activity-7401180579754332160-2Tki","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQGlnZprpibNKw/feedshare-shrink_2048_1536/B56ZrZGW4cG4Aw-/0/1764578951450?e=1766620800&v=beta&t=8NfB59czRQBdRsF4kT4I9_9PpJ3WP7q2kqpMANpOZtU","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQGC2sfgmEkUgw/feedshare-shrink_2048_1536/B56ZrZGW5MHkA4-/0/1764578952681?e=1766620800&v=beta&t=leAPDpTKEiiLS4Bkp2PcWFIbDsdXBCm7_QbyE3ONUIk","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQGo71rgQpAqVQ/feedshare-shrink_2048_1536/B56ZrZGW5vJwAw-/0/1764578955522?e=1766620800&v=beta&t=JF5kANV8caXCmk09Dem0PW2V6XIjP3oZxtLzXj3OmrM","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQEXkaWjk-D_kQ/feedshare-shrink_2048_1536/B56ZrZGW7KJoAw-/0/1764578955368?e=1766620800&v=beta&t=CADfsNcWryxlD-C1xO0U3sCE1IZX2olPdn_QfNFaFQk","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQFTwsop38OptA/feedshare-shrink_2048_1536/B56ZrZGW4BHYAw-/0/1764578937392?e=1766620800&v=beta&t=Bb-snTQTegwVtEMJlUJqlMw21iYqmO3v7FhHvNeGzXM","2048","1766620800000","1367","https://media.licdn.com/dms/image/v2/D5622AQHlIKhdQaC8Kg/feedshare-shrink_2048_1536/B56ZrZGW7rJsAw-/0/1764578955602?e=1766620800&v=beta&t=42lomZaN2OEZYom2AUDzPaTNx18XTD6fgPImOqoGtFc","2048",,,,,,,"2025-12-01T08:49:17.326Z","3d","3 days ago • Edited • Visible to anyone on or off LinkedIn","1764578957326","1","date","https://www.linkedin.com/company/dahua-technology/","urn:li:ugcPost:7401180579028975617","false","false","false","false","false","true","true","false","false","https://www.linkedin.com/posts/dahua-technology_dahua-dahuaprochallenge-activity-7401180579754332160-2Tki?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGGZPVkBO-KqWuYAYS2fie9fQJ37cwL_MNU","false","true",,"post"
"1766620800000","400","https://media.licdn.com/dms/image/v2/C560BAQEs3MVNoTeWSw/company-logo_400_400/company-logo_400_400/0/1630623665585/dahua_technology_logo?e=1766620800&v=beta&t=q-J9yYKY6rt2iJ5-nfplwrt2cnPbczCzwoKpg5Osby4","400","311,310 followers","https://www.linkedin.com/company/dahua-technology/posts","Dahua Technology Co. LTD",,"company","dahua-technology",,,"🎉 The #DahuaProChallenge competition has essentially concluded, and some Pro Techies have already received our gift boxes 🎁. Let's take a look together to see what's inside! ✨
🌏✈️ The countdown is on! In just 2️⃣ days, our Dahua Golden Pros will embark on an exciting journey to China for an exclusive visit to Dahua Headquarters!

#Dahua #DahuaProChallenge",,,,,,"7","0","92","85","LIKE","5","EMPATHY","1","PRAISE","1","APPRECIATION","3","7400805816443944962",,"7400793329107554304","https://www.linkedin.com/posts/dahua-technology_dahuaprochallenge-dahua-dahuaprochallenge-activity-7400805816443944962-rsvq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://media.licdn.com/dms/image/v2/D5605AQG9hLszDUql0A/feedshare-thumbnail_720_1280/B56ZrTnMLiK4A0-/0/1764486857707?e=1765461600&v=beta&t=5rykMz9iho6Ddo01CoQYWpGZ3pE_jSMx_WEOf0Gwmig","https://dms.licdn.com/playlist/vid/v2/D5605AQG9hLszDUql0A/mp4-720p-30fp-crf28/B56ZrTnMLiK4CE-/0/1764486864552?e=1765461600&v=beta&t=1djdzAhfIsClCihFsoISbEh1qza9MPczSrU6NsfYAyM","2025-11-30T07:10:29.750Z","4d","4 days ago • Visible to anyone on or off LinkedIn","1764486629750","1","date","https://www.linkedin.com/company/dahua-technology/","urn:li:ugcPost:7400793329107554304","false","false","false","false","false","true","true","false","false","https://www.linkedin.com/posts/dahua-technology_dahuaprochallenge-dahua-dahuaprochallenge-activity-7400805816443944962-rsvq?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGGZPVkBO-KqWuYAYS2fie9fQJ37cwL_MNU","false","true",,"post"
"1766620800000","400","https://media.licdn.com/dms/image/v2/C560BAQEs3MVNoTeWSw/company-logo_400_400/company-logo_400_400/0/1630623665585/dahua_technology_logo?e=1766620800&v=beta&t=q-J9yYKY6rt2iJ5-nfplwrt2cnPbczCzwoKpg5Osby4","400","311,310 followers","https://www.linkedin.com/company/dahua-technology/posts","Dahua Technology Co. LTD",,"company","dahua-technology",,,"- Dahua SMB Solution -
The Dahua EAS Loss Prevention Solution 🛒 for stores and grocery shops provides reliable and accurate shoplifting detection and alerts, quick security guard responses, and seamlessly integration with AI video surveillance to enhances the efficiency of relevant video evidence retrieval, minimizing any losses. 

Click here to find more: https://lnkd.in/gYGW9898",,"24","359","https://lnkd.in/gYGW9898","TEXT_LINK","0","0","44","41","LIKE","3","EMPATHY",,,,,"7","7400352815459688448",,"7399746947076583424","https://www.linkedin.com/posts/dahua-technology_dahua-smb-solution-the-dahua-eas-loss-activity-7400352815459688448-zfVb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://media.licdn.com/dms/image/v2/D5605AQFWIXU-8wcfeA/videocover-low/B56ZrEvgSkHkBQ-/0/1764237382643?e=1765461600&v=beta&t=5zdiiy-AS7uLzRGBV5Avu-O4b4SbCR_sLnShf-ntW2E","https://dms.licdn.com/playlist/vid/v2/D5605AQFWIXU-8wcfeA/mp4-720p-30fp-crf28/B56ZrEvgSkHkCI-/0/1764237387741?e=1765461600&v=beta&t=4QgvkSOZbWbnZls_V7-WOfPlgKykvlRB5sjR_0KKSuk","2025-11-27T09:52:32.833Z","5d","5 days ago • Visible to anyone on or off LinkedIn","1764237152833","1","date","https://www.linkedin.com/company/dahua-technology/","urn:li:ugcPost:7399746947076583424","false","false","false","false","false","true","true","false","false","https://www.linkedin.com/posts/dahua-technology_dahua-smb-solution-the-dahua-eas-loss-activity-7400352815459688448-zfVb?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGGZPVkBO-KqWuYAYS2fie9fQJ37cwL_MNU","false","true",,"post"
